"id","item_id","order","size","has_derivative_image","authentication","mime_type","type_os","filename","original_filename","modified","added","stored","metadata"
"118","118",NULL,"108456","1","b905fe228af4f317ffcb7466eeca2d84","application/pdf","PDF document, version 1.6","819be45bf107d266d7d9131238c55c6d.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_007.pdf","2017-12-29 19:37:04","2017-04-17 21:09:17","1","{""mime_type"":""application\/pdf""}"
"119","119",NULL,"132819","1","a5ef5f64efd47f43f800c77f8bfc21ea","application/pdf","PDF document, version 1.6","d0010aaba6054152d8ec511a91d7650c.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_008.pdf","2017-12-29 19:37:04","2017-04-17 21:09:18","1","{""mime_type"":""application\/pdf""}"
"120","120",NULL,"340364","1","59c87e3fbb201fe0627eacbecc55297c","application/pdf","PDF document, version 1.6","c6a0242fd843d84449a7637698ad1258.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_009.pdf","2017-12-29 19:37:04","2017-04-17 21:09:20","1","{""mime_type"":""application\/pdf""}"
"121","121",NULL,"349635","1","f052db26f8f8bf07eae28705bea5d8a4","application/pdf","PDF document, version 1.6","574ec7c1bd931bd34a1efe1ddf32eae3.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_010.pdf","2017-12-29 19:37:05","2017-04-17 21:09:21","1","{""mime_type"":""application\/pdf""}"
"122","122",NULL,"329958","1","9fdc1833d9dbd2a0005ff49f2d695e34","application/pdf","PDF document, version 1.6","81b6dfa8c99e4e3e4ff2a8d1fd407e24.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_011.pdf","2017-12-29 19:37:05","2017-04-17 21:09:23","1","{""mime_type"":""application\/pdf""}"
"123","123",NULL,"311266","1","3d15a64b4ddc16fdcb21ed9743d71c8e","application/pdf","PDF document, version 1.6","703d414cb81362907367b1f793d5bfb8.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_012.pdf","2017-12-29 19:37:05","2017-04-17 21:09:24","1","{""mime_type"":""application\/pdf""}"
"124","124",NULL,"309152","1","80a82285c2dd89c457702fd6dffc2952","application/pdf","PDF document, version 1.6","e11d5974046d60269fb098f43284c58c.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_013.pdf","2017-12-29 19:37:05","2017-04-17 21:09:25","1","{""mime_type"":""application\/pdf""}"
"125","125",NULL,"347119","1","f9bc7b0ea3559a007f32ed78ab97e75f","application/pdf","PDF document, version 1.6","46572930e4754d5e1f9c8813e126cc62.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_014.pdf","2017-12-29 19:37:05","2017-04-17 21:09:27","1","{""mime_type"":""application\/pdf""}"
"126","126",NULL,"328246","1","06daf7a468e7551d0c1b2836a08664ad","application/pdf","PDF document, version 1.6","3006713b4ee639746ac67cd953c5f77a.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_015.pdf","2017-12-29 19:37:06","2017-04-17 21:09:28","1","{""mime_type"":""application\/pdf""}"
"127","127",NULL,"319190","1","da123b2f7cd896ef942053c8b94df0fb","application/pdf","PDF document, version 1.6","94a39d80faddddc8324e06dbfc7913d4.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_016.pdf","2017-12-29 19:37:06","2017-04-17 21:09:30","1","{""mime_type"":""application\/pdf""}"
"128","128",NULL,"204642","1","af51eadca21c10f42b04351a2f479ca3","application/pdf","PDF document, version 1.6","52fce5dff2071a7775cc2ac39ad398ca.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_017.pdf","2017-12-29 19:37:06","2017-04-17 21:09:31","1","{""mime_type"":""application\/pdf""}"
"129","129",NULL,"180951","1","a8d028891ab34149eee08f9bae86d683","application/pdf","PDF document, version 1.6","6ae143dbca92d6a11c0dd2d782174549.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_018.pdf","2017-12-29 19:37:06","2017-04-17 21:09:33","1","{""mime_type"":""application\/pdf""}"
"130","130",NULL,"100364","1","fdbaca4d6495f15b768d8aa9af8fa8b2","application/pdf","PDF document, version 1.6","2e9fc692206069b538e529487b8c0ee8.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_019.pdf","2017-12-29 19:37:07","2017-04-17 21:09:34","1","{""mime_type"":""application\/pdf""}"
"131","131",NULL,"111014","1","6e5a76fad22b992311bc7da5019c6f00","application/pdf","PDF document, version 1.6","f2efa44e16bd4936da97fb70e5ec7f56.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_020.pdf","2017-12-29 19:37:07","2017-04-17 21:09:35","1","{""mime_type"":""application\/pdf""}"
"132","132",NULL,"333482","1","0caa062a3a7adcf51c529b101d9b2a55","application/pdf","PDF document, version 1.6","b887f971f490ef80f58b06068afdf240.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_021.pdf","2017-12-29 19:37:07","2017-04-17 21:09:36","1","{""mime_type"":""application\/pdf""}"
"133","133",NULL,"382535","1","d5b7bbd6ffb2a36e7bb5cedffc1ce380","application/pdf","PDF document, version 1.6","c5e9f8886d15fc132fb8e508968b773d.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_022.pdf","2017-12-29 19:37:07","2017-04-17 21:09:38","1","{""mime_type"":""application\/pdf""}"
"134","134",NULL,"1769282","1","a1411b6642b02e5ad83f0b0dda798b9d","application/pdf","PDF document, version 1.6","991479f98c30be7cd89cc7f7f9b45ab8.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_023.pdf","2017-12-29 19:37:08","2017-04-17 21:09:40","1","{""mime_type"":""application\/pdf""}"
"135","135",NULL,"1961415","1","fd2b9bf4ddad18b310c742a1152a6048","application/pdf","PDF document, version 1.6","37c236850d189639d34d770450b49848.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_024.pdf","2017-12-29 19:37:08","2017-04-17 21:09:41","1","{""mime_type"":""application\/pdf""}"
